รหัสชนิด,ชื่อวิทยาศาสตร์ที่ค้น,ชื่อที่พบ,ไฟล์,ผู้ถ่าย,สัญญาอนุญาต,ลิงก์สัญญาอนุญาต,ที่มา
7-31170-001-001,Crescentia cujete,Crescentia cujete,img/plants/001.jpg,bridgitte1234,CC BY-NC 4.0,https://creativecommons.org/licenses/by-nc/4.0/,https://www.inaturalist.org/photos/51265871
7-31170-001-002,Acacia auriculiformis,Acacia auriculiformis,img/plants/002.jpg,ผู้ใช้ iNaturalist,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/,https://www.inaturalist.org/photos/700459
7-31170-001-003,Chrysalidocarpus lutescens,Chrysalidocarpus lutescens,img/plants/003.jpg,jerbon,CC BY-NC 4.0,https://creativecommons.org/licenses/by-nc/4.0/,https://www.inaturalist.org/photos/35293993
7-31170-001-004,Hopea odorata,Hopea odorata,img/plants/004.jpg,paakor,CC BY-NC 4.0,https://creativecommons.org/licenses/by-nc/4.0/,https://www.inaturalist.org/photos/258495628
7-31170-001-005,Dipterocarpus intricatus,Dipterocarpus intricatus,img/plants/005.jpg,Chanang,CC BY-NC 4.0,https://creativecommons.org/licenses/by-nc/4.0/,https://www.inaturalist.org/photos/251511102
7-31170-001-006,Neolamarckia cadamba,Neolamarckia cadamba,img/plants/006.jpg,ผู้ใช้ iNaturalist,CC0,https://creativecommons.org/publicdomain/zero/1.0/,https://www.inaturalist.org/photos/81966952
7-31170-001-007,Sphaerocoryne affinis,Sphaerocoryne affinis,img/plants/007.jpg,eec,CC BY-NC 4.0,https://creativecommons.org/licenses/by-nc/4.0/,https://www.inaturalist.org/photos/185166970
7-31170-001-009,Lagerstroemia calyculata,Lagerstroemia calyculata,img/plants/009.jpg,Steven Kurniawidjaja,CC BY-NC 4.0,https://creativecommons.org/licenses/by-nc/4.0/,https://www.inaturalist.org/photos/9918066
7-31170-001-011,Streblus asper,Streblus asper,img/plants/011.jpg,Harshjeet Singh Bal,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,https://www.inaturalist.org/photos/25892874
7-31170-001-012,Peltophorum dasyrachis,Peltophorum dasyrhachis,img/plants/012.jpg,JJLudemann,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,https://www.inaturalist.org/photos/2053253
7-31170-001-013,Albizia myriophylla,Albizia myriophylla,img/plants/013.jpg,James Bailey,CC BY-NC 4.0,https://creativecommons.org/licenses/by-nc/4.0/,https://www.inaturalist.org/photos/296890598
7-31170-001-014,Adenanthera pavonina,Adenanthera pavonina,img/plants/014.jpg,Cheongweei Gan,CC BY-NC 4.0,https://creativecommons.org/licenses/by-nc/4.0/,https://www.inaturalist.org/photos/20605511
7-31170-001-015,Azadirachta indica,Azadirachta indica,img/plants/015.jpg,Hareesha A S,CC BY-NC 4.0,https://creativecommons.org/licenses/by-nc/4.0/,https://www.inaturalist.org/photos/46478533
7-31170-001-016,Flacourtia indica,Flacourtia indica,img/plants/016.jpg,Graeme White,CC BY-NC 4.0,https://creativecommons.org/licenses/by-nc/4.0/,https://www.inaturalist.org/photos/1307595
7-31170-001-017,Dracaena loureiroi,Dracaena cochinchinensis,img/plants/017.jpg,Sarka Masova,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,https://www.inaturalist.org/photos/207439534
7-31170-001-018,Antirrhinum majus,Antirrhinum majus,img/plants/018.jpg,ผู้ใช้ iNaturalist,CC0,https://creativecommons.org/publicdomain/zero/1.0/,https://www.inaturalist.org/photos/202870263
7-31170-001-019,Zamia furfuracea,Zamia furfuracea,img/plants/019.jpg,tanetahi,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,https://www.inaturalist.org/photos/152793
7-31170-001-020,Elaeis guineensis,Elaeis guineensis,img/plants/020.jpg,Fabrício Mil Homens Riella,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,https://www.inaturalist.org/photos/333000809
