รหัสพรรณไม้,ชื่อพรรณไม้,ชื่อวิทยาศาสตร์,ชื่อวงศ์,ลักษณะวิสัย,ลักษณะเด่นของพืช,บริเวณที่พบ
7-31170-001-001/1,น้ำเต้าต้น น้ำเต้าญี่ปุ่น,Crescentia cujete L.,BIGNONIACEAE,ไม้ต้น,ดอกออกตามลำต้น,พื้นที่ศึกษาที่ 1 ข้างอาคารสิ่งแวดล้อม ด้านทิศตะวันออก
7-31170-001-001/2,น้ำเต้าต้น น้ำเต้าญี่ปุ่น,Crescentia cujete L.,BIGNONIACEAE,ไม้ต้น,ดอกออกตามลำต้น,พื้นที่ศึกษาที่ 5 พื้นที่หลังอาคาร 1
7-31170-001-002/1,กระถินณรงค์,Acacia auriculaeformis A. Cunn. ex Benth.,LEGUMINOSAE-MIMOSOIDEAE,ไม้ต้น,ลำต้นเหนือดิน ดอกสีเหลืองเหนียว,พื้นที่ศึกษาที่ 1 ข้างอาคารสิ่งแวดล้อม ด้านทิศตะวันออก
7-31170-001-002/2,กระถินณรงค์,Acacia auriculaeformis A. Cunn. ex Benth.,LEGUMINOSAE-MIMOSOIDEAE,ไม้ต้น,ลำต้นเหนือดิน ดอกสีเหลืองเหนียว,พื้นที่ศึกษาที่ 3 ทิศตะวันตกเฉียงเหนือ ข้างอาคารเกษตร
7-31170-001-002/3,กระถินณรงค์,Acacia auriculaeformis A. Cunn. ex Benth.,LEGUMINOSAE-MIMOSOIDEAE,ไม้ต้น,ลำต้นเหนือดิน ดอกสีเหลืองเหนียว,พื้นที่ศึกษาที่ 3 ทิศตะวันตกเฉียงเหนือ ข้างอาคารเกษตร
7-31170-001-002/4,กระถินณรงค์,Acacia auriculaeformis A. Cunn. ex Benth.,LEGUMINOSAE-MIMOSOIDEAE,ไม้ต้น,ลำต้นเหนือดิน ดอกสีเหลืองเหนียว,พื้นที่ศึกษาที่ 5 พื้นที่หลังอาคาร 1
7-31170-001-002/5,กระถินณรงค์,Acacia auriculaeformis A. Cunn. ex Benth.,LEGUMINOSAE-MIMOSOIDEAE,ไม้ต้น,ลำต้นเหนือดิน ดอกสีเหลืองเหนียว,พื้นที่ศึกษาที่ 5 พื้นที่หลังอาคาร 1
7-31170-001-002/6,กระถินณรงค์,Acacia auriculaeformis A. Cunn. ex Benth.,LEGUMINOSAE-MIMOSOIDEAE,ไม้ต้น,ลำต้นเหนือดิน ดอกสีเหลืองเหนียว,พื้นที่ศึกษาที่ 5 พื้นที่หลังอาคาร 1
7-31170-001-002/7,กระถินณรงค์,Acacia auriculaeformis A. Cunn. ex Benth.,LEGUMINOSAE-MIMOSOIDEAE,ไม้ต้น,ลำต้นเหนือดิน ดอกสีเหลืองเหนียว,พื้นที่ศึกษาที่ 5 พื้นที่หลังอาคาร 1
7-31170-001-002/8,กระถินณรงค์,Acacia auriculaeformis A. Cunn. ex Benth.,LEGUMINOSAE-MIMOSOIDEAE,ไม้ต้น,ลำต้นเหนือดิน ดอกสีเหลืองเหนียว,พื้นที่ศึกษาที่ 5 พื้นที่หลังอาคาร 1
7-31170-001-002/9,กระถินณรงค์,Acacia auriculaeformis A. Cunn. ex Benth.,LEGUMINOSAE-MIMOSOIDEAE,ไม้ต้น,ลำต้นเหนือดิน ดอกสีเหลืองเหนียว,พื้นที่ศึกษาที่ 7 หลังอาคาร 3
7-31170-001-002/10,กระถินณรงค์,Acacia auriculaeformis A. Cunn. ex Benth.,LEGUMINOSAE-MIMOSOIDEAE,ไม้ต้น,ลำต้นเหนือดิน ดอกสีเหลืองเหนียว,พื้นที่ศึกษาที่ 7 หลังอาคาร 3
7-31170-001-002/11,กระถินณรงค์,Acacia auriculaeformis A. Cunn. ex Benth.,LEGUMINOSAE-MIMOSOIDEAE,ไม้ต้น,ลำต้นเหนือดิน ดอกสีเหลืองเหนียว,พื้นที่ศึกษาที่ 7 หลังอาคาร 3
7-31170-001-002/12,กระถินณรงค์,Acacia auriculaeformis A. Cunn. ex Benth.,LEGUMINOSAE-MIMOSOIDEAE,ไม้ต้น,ลำต้นเหนือดิน ดอกสีเหลืองเหนียว,พื้นที่ศึกษาที่ 8 บริเวณอาคาร 4
7-31170-001-002/13,กระถินณรงค์,Acacia auriculaeformis A. Cunn. ex Benth.,LEGUMINOSAE-MIMOSOIDEAE,ไม้ต้น,ลำต้นเหนือดิน ดอกสีเหลืองเหนียว,พื้นที่ศึกษาที่ 8 บริเวณอาคาร 4
7-31170-001-002/14,กระถินณรงค์,Acacia auriculaeformis A. Cunn. ex Benth.,LEGUMINOSAE-MIMOSOIDEAE,ไม้ต้น,ลำต้นเหนือดิน ดอกสีเหลืองเหนียว,พื้นที่ศึกษาที่ 8 บริเวณอาคาร 4
7-31170-001-002/15,กระถินณรงค์,Acacia auriculaeformis A. Cunn. ex Benth.,LEGUMINOSAE-MIMOSOIDEAE,ไม้ต้น,ลำต้นเหนือดิน ดอกสีเหลืองเหนียว,พื้นที่ศึกษาที่ 9 สระน้ำข้างศาลาธรรม
7-31170-001-002/16,กระถินณรงค์,Acacia auriculaeformis A. Cunn. ex Benth.,LEGUMINOSAE-MIMOSOIDEAE,ไม้ต้น,ลำต้นเหนือดิน ดอกสีเหลืองเหนียว,พื้นที่ศึกษาที่ 9 สระน้ำข้างศาลาธรรม
7-31170-001-002/17,กระถินณรงค์,Acacia auriculaeformis A. Cunn. ex Benth.,LEGUMINOSAE-MIMOSOIDEAE,ไม้ต้น,ลำต้นเหนือดิน ดอกสีเหลืองเหนียว,พื้นที่ศึกษาที่ 9 สระน้ำข้างศาลาธรรม
7-31170-001-002/18,กระถินณรงค์,Acacia auriculaeformis A. Cunn. ex Benth.,LEGUMINOSAE-MIMOSOIDEAE,ไม้ต้น,ลำต้นเหนือดิน ดอกสีเหลืองเหนียว,พื้นที่ศึกษาที่ 9 สระน้ำข้างศาลาธรรม
7-31170-001-002/19,กระถินณรงค์,Acacia auriculaeformis A. Cunn. ex Benth.,LEGUMINOSAE-MIMOSOIDEAE,ไม้ต้น,ลำต้นเหนือดิน ดอกสีเหลืองเหนียว,พื้นที่ศึกษาที่ 9 สระน้ำข้างศาลาธรรม
